Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1964-65,26,NYK,NBA,PG,77,NA,17.3,1.9,5.7,0.333,1.1,1.7,0.654,2.2,2.2,2.8,4.9
1965-66,27,NYK,NBA,PG,71,NA,16.8,3,6.3,0.472,1,1.4,0.733,2.4,3,3,7
1966-67,28,NYK,NBA,PG,63,NA,25.3,3.7,9.2,0.409,1.2,1.8,0.649,4.3,3.5,3.7,8.7
1967-68,29,NYK,NBA,PG,77,NA,12.6,1.5,3.8,0.385,0.8,1.1,0.686,1.7,1.7,2.2,3.7
1968-69,30,BOS,NBA,PG,80,NA,17.4,2.5,6.1,0.404,0.8,1.3,0.65,2.4,2.2,3.3,5.7
1969-70,31,BOS,NBA,PG,71,NA,22.8,3,7.3,0.404,1.9,2.5,0.746,3.8,3.3,2.8,7.8
1970-71,32,BUF,NBA,PG,73,NA,29.3,3.9,9.4,0.421,2.1,2.8,0.744,3.6,4.8,3.6,10
1971-72,33,BUF,NBA,PG,54,NA,22.6,1.9,4.1,0.459,1.4,2.3,0.6,2.4,3.8,3.1,5.1
Career,NA,,NBA,,566,NA,20.2,2.7,6.5,0.41,1.3,1.8,0.69,2.8,3,3.1,6.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,288,NA,17.7,2.4,6.1,0.402,1,1.5,0.677,2.6,2.6,2.9,5.9
2 seasons,NA,BOS,NBA,,151,NA,19.9,2.7,6.7,0.404,1.3,1.9,0.712,3.1,2.7,3.1,6.7
2 seasons,NA,BUF,NBA,,127,NA,26.5,3.1,7.1,0.43,1.8,2.6,0.689,3.1,4.4,3.4,7.9
