Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jason Williams,,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9,0.2
Aaron McKie,92.1,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2,2,1.6,1.4,0.1
Spud Webb,91.3,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3,2.3,2.2,1.2,-0.1
Jarrett Jack,88.8,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9,0
Johnny Davis,88.4,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7,NA,NA
Greg Anthony,88.0,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,NA
T.R. Dunn,86.7,4.9,4.4,4.4,4.1,4,3.7,3.3,3.2,2.4,1.6,1.6,0.6
Luke Ridnour,86.6,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.6,0.1
Al Attles,86.4,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,NA
Courtney Lee,85.4,4.8,4.7,4.4,4.2,3.9,3.9,3.3,3.2,3.1,2.7,0.4,NA
Eric Gordon,85.3,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA
