Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,21,LAC,NBA,C,82,61,1843,200,435,0.46,0,2,0,200,433,0.462,0.46,99,142,0.697,126,335,461,85,23,73,155,211,499
2004-05,22,LAC,NBA,C,63,50,1632,246,495,0.497,0,1,0,246,494,0.498,0.497,80,121,0.661,135,288,423,73,26,68,115,182,572
2005-06,23,LAC,NBA,C,78,78,2560,369,706,0.523,0,2,0,369,704,0.524,0.523,194,252,0.77,187,563,750,79,45,108,176,269,932
2006-07,24,LAC,NBA,C,75,66,2176,294,652,0.451,0,1,0,294,651,0.452,0.451,166,224,0.741,160,428,588,79,41,116,147,251,754
2007-08,25,LAC,NBA,C,56,55,2083,338,700,0.483,0,4,0,338,696,0.486,0.483,202,265,0.762,173,538,711,107,33,155,164,179,878
2008-09,26,LAC,NBA,C,31,24,921,161,305,0.528,0,0,NA,161,305,0.528,0.528,51,75,0.68,75,172,247,46,17,45,84,93,373
2009-10,27,LAC,NBA,C,76,76,2608,589,1202,0.49,0,6,0,589,1196,0.492,0.49,230,307,0.749,184,520,704,120,37,94,223,213,1408
2010-11,28,LAC,NBA,C,32,15,838,177,376,0.471,0,0,NA,177,376,0.471,0.471,43,57,0.754,51,174,225,46,16,48,58,75,397
2011-12,29,NOH,NBA,C,47,33,1372,266,597,0.446,0,0,NA,266,597,0.446,0.446,84,107,0.785,89,275,364,101,25,77,129,106,616
2012-13,30,DAL,NBA,C,66,52,1363,313,617,0.507,0,1,0,313,616,0.508,0.507,67,85,0.788,97,275,372,51,29,52,103,141,693
2013-14,31,LAL,NBA,C,39,13,736,176,346,0.509,0,3,0,176,343,0.513,0.509,52,68,0.765,54,175,229,58,11,40,74,93,404
2014-15,32,POR,NBA,C,74,13,1398,283,549,0.515,0,0,NA,283,549,0.515,0.515,72,102,0.706,149,335,484,65,18,54,108,140,638
2015-16,33,POR,NBA,C,16,2,112,20,43,0.465,1,4,0.25,19,39,0.487,0.477,3,3,1,7,17,24,11,1,1,8,15,44
Career,NA,,NBA,,735,538,19642,3432,7023,0.489,1,24,0.042,3431,6999,0.49,0.489,1343,1808,0.743,1487,4095,5582,921,322,931,1544,1968,8208
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,LAC,NBA,,493,425,14661,2374,4871,0.487,0,16,0,2374,4855,0.489,0.487,1065,1443,0.738,1091,3018,4109,635,238,707,1122,1473,5813
2 seasons,NA,POR,NBA,,90,15,1510,303,592,0.512,1,4,0.25,302,588,0.514,0.513,75,105,0.714,156,352,508,76,19,55,116,155,682
1 season,NA,DAL,NBA,,66,52,1363,313,617,0.507,0,1,0,313,616,0.508,0.507,67,85,0.788,97,275,372,51,29,52,103,141,693
1 season,NA,NOH,NBA,,47,33,1372,266,597,0.446,0,0,NA,266,597,0.446,0.446,84,107,0.785,89,275,364,101,25,77,129,106,616
1 season,NA,LAL,NBA,,39,13,736,176,346,0.509,0,3,0,176,343,0.513,0.509,52,68,0.765,54,175,229,58,11,40,74,93,404
