Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,21,LAC,NBA,C,82,1843,9.6,0.502,0.005,0.326,7.7,20.9,14.2,7.7,0.7,2.9,23.8,15.7,NA,-0.9,0.9,0,0.001,NA,-3.4,-0.8,-4.2,-1
2004-05,22,LAC,NBA,C,63,1632,13.1,0.522,0.002,0.244,10.2,20.5,15.6,7.7,0.9,3.1,17.3,18.8,NA,0.2,1.9,2.1,0.061,NA,-2.1,-0.3,-2.5,-0.2
2005-06,23,LAC,NBA,C,78,2560,15,0.57,0.003,0.357,8.9,24.5,17,5,0.9,3.2,17.7,17.9,NA,1.8,4.3,6.1,0.114,NA,-1.3,0.6,-0.7,0.8
2006-07,24,LAC,NBA,C,75,2176,12.9,0.502,0.002,0.344,8.9,23.3,16.2,6.1,1,4.1,16.4,19,NA,-0.3,3.2,2.9,0.063,NA,-3,0,-3,-0.5
2007-08,25,LAC,NBA,C,56,2083,17.5,0.538,0.006,0.379,9.5,30,19.7,9.3,0.8,5.6,16.7,21.7,NA,0.4,3.2,3.6,0.083,NA,-0.9,1.2,0.3,1.2
2008-09,26,LAC,NBA,C,31,921,14.4,0.552,0,0.246,9.1,22.2,15.5,8.8,1,3.6,19.9,20.9,NA,-0.3,0.8,0.6,0.03,NA,-2.8,-0.3,-3.1,-0.3
2009-10,27,LAC,NBA,C,76,2608,16.5,0.527,0.005,0.255,8.1,23.2,15.6,8.6,0.7,2.7,14.3,27.1,NA,0,2.4,2.4,0.044,NA,-1.4,-1.1,-2.5,-0.3
2010-11,28,LAC,NBA,C,32,838,15.7,0.495,0,0.152,7.2,24.1,15.7,10,1,4.5,12.6,24.4,NA,-0.2,1.1,0.8,0.047,NA,-1.7,0.3,-1.4,0.1
2011-12,29,NOH,NBA,C,47,1372,15.3,0.478,0,0.179,7.9,23.5,15.8,14,1,4.7,16.7,26.6,NA,-1.2,1.9,0.7,0.024,NA,-1.8,0.5,-1.3,0.2
2012-13,30,DAL,NBA,C,66,1363,16.3,0.529,0.002,0.138,8.1,22.1,15.2,6.6,1.1,3,13.6,25.3,NA,0,1.6,1.6,0.058,NA,-1.5,-0.8,-2.4,-0.1
2013-14,31,LAL,NBA,C,39,736,17,0.537,0.009,0.197,7.8,25.4,16.6,14.1,0.7,3.9,16.4,26.7,NA,-0.2,0.7,0.5,0.036,NA,-1.7,0.3,-1.4,0.1
2014-15,32,POR,NBA,C,74,1398,17.3,0.537,0,0.186,11.6,25.2,18.5,7.8,0.7,2.8,15.4,22.5,NA,1.1,2.2,3.3,0.112,NA,-0.8,0.1,-0.8,0.4
2015-16,33,POR,NBA,C,16,112,11.1,0.496,0.093,0.07,6.8,16.5,11.6,15.8,0.4,0.7,15.3,20.4,NA,0,0.1,0.1,0.037,NA,-2.6,-1,-3.6,0
Career,NA,,NBA,,735,19642,14.9,0.525,0.003,0.257,8.8,23.8,16.4,8.3,0.9,3.6,16.5,21.7,NA,0.4,24.2,24.6,0.06,NA,-1.9,-0.1,-1.9,0.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,LAC,NBA,,493,14661,14.4,0.528,0.003,0.296,8.8,23.8,16.3,7.6,0.9,3.6,16.9,20.6,NA,0.6,17.8,18.4,0.06,NA,-2,-0.1,-2.1,-0.2
2 seasons,NA,POR,NBA,,90,1510,16.9,0.534,0.007,0.177,11.3,24.5,18,8.4,0.6,2.6,15.4,22.3,NA,1.1,2.3,3.4,0.107,NA,-1,0,-1,0.4
1 season,NA,DAL,NBA,,66,1363,16.3,0.529,0.002,0.138,8.1,22.1,15.2,6.6,1.1,3,13.6,25.3,NA,0,1.6,1.6,0.058,NA,-1.5,-0.8,-2.4,-0.1
1 season,NA,NOH,NBA,,47,1372,15.3,0.478,0,0.179,7.9,23.5,15.8,14,1,4.7,16.7,26.6,NA,-1.2,1.9,0.7,0.024,NA,-1.8,0.5,-1.3,0.2
1 season,NA,LAL,NBA,,39,736,17,0.537,0.009,0.197,7.8,25.4,16.6,14.1,0.7,3.9,16.4,26.7,NA,-0.2,0.7,0.5,0.036,NA,-1.7,0.3,-1.4,0.1
