Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2003-04,21,LAC,NBA,C,82,61,1843,5.7,12.5,0.46,0,0.1,0,5.7,12.4,0.462,2.8,4.1,0.697,3.6,9.6,13.2,2.4,0.7,2.1,4.4,6,14.3,NA,90,107
2004-05,22,LAC,NBA,C,63,50,1632,8.1,16.3,0.497,0,0,0,8.1,16.3,0.498,2.6,4,0.661,4.5,9.5,14,2.4,0.9,2.2,3.8,6,18.9,NA,98,105
2005-06,23,LAC,NBA,C,78,78,2560,7.5,14.4,0.523,0,0,0,7.5,14.4,0.524,4,5.2,0.77,3.8,11.5,15.3,1.6,0.9,2.2,3.6,5.5,19,NA,104,101
2006-07,24,LAC,NBA,C,75,66,2176,7.1,15.8,0.451,0,0,0,7.1,15.8,0.452,4,5.4,0.741,3.9,10.4,14.3,1.9,1,2.8,3.6,6.1,18.3,NA,97,103
2007-08,25,LAC,NBA,C,56,55,2083,8.5,17.5,0.483,0,0.1,0,8.5,17.4,0.486,5.1,6.6,0.762,4.3,13.5,17.8,2.7,0.8,3.9,4.1,4.5,22,NA,100,103
2008-09,26,LAC,NBA,C,31,24,921,9.1,17.3,0.528,0,0,NA,9.1,17.3,0.528,2.9,4.2,0.68,4.2,9.7,14,2.6,1,2.5,4.8,5.3,21.1,NA,97,109
2009-10,27,LAC,NBA,C,76,76,2608,11.7,23.9,0.49,0,0.1,0,11.7,23.8,0.492,4.6,6.1,0.749,3.7,10.3,14,2.4,0.7,1.9,4.4,4.2,28,NA,99,109
2010-11,28,LAC,NBA,C,32,15,838,10.9,23.2,0.471,0,0,NA,10.9,23.2,0.471,2.7,3.5,0.754,3.1,10.7,13.9,2.8,1,3,3.6,4.6,24.5,NA,97,105
2011-12,29,NOH,NBA,C,47,33,1372,10.5,23.7,0.446,0,0,NA,10.5,23.7,0.446,3.3,4.2,0.785,3.5,10.9,14.4,4,1,3.1,5.1,4.2,24.4,NA,91,102
2012-13,30,DAL,NBA,C,66,52,1363,11.7,23.1,0.507,0,0,0,11.7,23.1,0.508,2.5,3.2,0.788,3.6,10.3,13.9,1.9,1.1,1.9,3.9,5.3,25.9,NA,98,105
2013-14,31,LAL,NBA,C,39,13,736,11.6,22.9,0.509,0,0.2,0,11.6,22.7,0.513,3.4,4.5,0.765,3.6,11.6,15.1,3.8,0.7,2.6,4.9,6.1,26.7,NA,97,107
2014-15,32,POR,NBA,C,74,13,1398,10.3,20,0.515,0,0,NA,10.3,20,0.515,2.6,3.7,0.706,5.4,12.2,17.6,2.4,0.7,2,3.9,5.1,23.3,NA,103,101
2015-16,33,POR,NBA,C,16,2,112,8.9,19.2,0.465,0.4,1.8,0.25,8.5,17.4,0.487,1.3,1.3,1,3.1,7.6,10.7,4.9,0.4,0.4,3.6,6.7,19.6,NA,100,110
Career,NA,,NBA,,735,538,19642,9.1,18.7,0.489,0,0.1,0.042,9.1,18.6,0.49,3.6,4.8,0.743,4,10.9,14.8,2.4,0.9,2.5,4.1,5.2,21.8,NA,98,105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,LAC,NBA,,493,425,14661,8.5,17.4,0.487,0,0.1,0,8.5,17.4,0.489,3.8,5.2,0.738,3.9,10.8,14.7,2.3,0.9,2.5,4,5.3,20.8,NA,98,105
2 seasons,NA,POR,NBA,,90,15,1510,10.2,19.9,0.512,0,0.1,0.25,10.2,19.8,0.514,2.5,3.5,0.714,5.3,11.9,17.1,2.6,0.6,1.9,3.9,5.2,23,NA,102,102
1 season,NA,DAL,NBA,,66,52,1363,11.7,23.1,0.507,0,0,0,11.7,23.1,0.508,2.5,3.2,0.788,3.6,10.3,13.9,1.9,1.1,1.9,3.9,5.3,25.9,NA,98,105
1 season,NA,NOH,NBA,,47,33,1372,10.5,23.7,0.446,0,0,NA,10.5,23.7,0.446,3.3,4.2,0.785,3.5,10.9,14.4,4,1,3.1,5.1,4.2,24.4,NA,91,102
1 season,NA,LAL,NBA,,39,13,736,11.6,22.9,0.509,0,0.2,0,11.6,22.7,0.513,3.4,4.5,0.765,3.6,11.6,15.1,3.8,0.7,2.6,4.9,6.1,26.7,NA,97,107
