Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Mike McGee,,3.2,3,2.8,2.3,1.9,1.1,0.4,0.2,0.2,NA,NA
Mike Dunleavy,86.6,3.4,3.1,3,2.6,1.4,1.4,1,0.2,0.1,0,-0.1
Billy McKinney,86.1,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA,NA,NA
Steve Colter,85.2,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,NA,NA,NA
Rod Thorn,84.8,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA
Fatty Taylor,84.4,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA
Tony Snell,83.9,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA,NA,NA,NA
Charlie Criss,82.5,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0,NA,NA,NA
Trenton Hassell,82.1,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,NA,NA
Clint Richardson,81.7,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA,NA,NA
Adrian Griffin,81.6,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0,NA,NA
