Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,24,BAL,NBA,PF,71,NA,13.4,1.6,3.6,0.432,NA,NA,NA,1.6,3.6,0.432,0.432,0.8,1.4,0.606,NA,NA,5.3,0.5,NA,NA,NA,2.2,4
1968-69,25,BAL,NBA,PF,63,NA,11.5,2,4.6,0.448,NA,NA,NA,2,4.6,0.448,0.448,0.6,0.9,0.648,NA,NA,3.9,0.3,NA,NA,NA,1.9,4.7
1969-70,26,TOT,NBA,SF-PF,67,NA,11.6,1.8,4.8,0.371,NA,NA,NA,1.8,4.8,0.371,0.371,0.6,0.8,0.75,NA,NA,3.5,0.5,NA,NA,NA,1.8,4.2
1969-70,26,BAL,NBA,PF,29,NA,5.6,1.1,2.3,0.485,NA,NA,NA,1.1,2.3,0.485,0.485,0.2,0.3,0.625,NA,NA,1.2,0.1,NA,NA,NA,1.1,2.4
1969-70,26,CHI,NBA,SF,38,NA,16.2,2.3,6.7,0.341,NA,NA,NA,2.3,6.7,0.341,0.341,1,1.3,0.771,NA,NA,5.2,0.9,NA,NA,NA,2.3,5.6
1970-71,27,POR,NBA,PF,79,NA,19.7,3.1,7.1,0.435,NA,NA,NA,3.1,7.1,0.435,0.435,0.9,1.2,0.806,NA,NA,5.2,1.4,NA,NA,NA,2.5,7.1
1971-72,28,CAR,ABA,SF,77,NA,21.4,3,6.5,0.457,0,0,0,3,6.4,0.46,0.457,1.2,1.5,0.833,1.5,4.2,5.7,0.8,NA,NA,1.1,2.9,7.2
1972-73,29,CAR,ABA,PF,83,NA,19.7,3.2,6.7,0.475,0,0,0,3.2,6.7,0.476,0.475,0.8,1,0.762,1.3,3.4,4.7,0.8,NA,NA,1,3,7.1
1973-74,30,CAR,ABA,SF,82,NA,22.1,3.6,7.4,0.488,0,0,0.5,3.6,7.4,0.488,0.489,1,1.2,0.851,1.3,3.2,4.5,1.2,1.1,0.2,1.2,2.6,8.3
1974-75,31,NYA,ABA,SF,70,NA,14.2,1.5,3.5,0.424,0,0,0,1.5,3.4,0.427,0.424,0.5,0.6,0.833,0.8,2.2,3,0.8,0.6,0.1,0.8,2.1,3.4
1975-76,32,INA,ABA,SF,12,NA,11.2,2,5,0.4,0,0,NA,2,5,0.4,0.4,1,1.4,0.706,1.3,1.8,3.1,1.2,0.3,0.2,0.6,1.5,5
Career,NA,,TOT,,604,NA,16.9,2.5,5.6,0.448,0,0,0.125,2.5,5.6,0.448,0.448,0.8,1.1,0.764,1.3,3.2,4.5,0.8,0.8,0.2,1,2.4,5.9
,NA,,ABA,,324,NA,19.2,2.8,6.1,0.466,0,0,0.125,2.8,6,0.467,0.466,0.9,1.1,0.816,1.3,3.2,4.5,0.9,0.8,0.2,1,2.6,6.6
,NA,,NBA,,280,NA,14.3,2.2,5.1,0.423,NA,NA,NA,2.2,5.1,0.423,0.423,0.8,1.1,0.702,NA,NA,4.5,0.7,NA,NA,NA,2.1,5.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CAR,ABA,,242,NA,21.1,3.3,6.9,0.474,0,0,0.167,3.3,6.8,0.475,0.474,1,1.2,0.819,1.4,3.6,5,0.9,1.1,0.2,1.1,2.8,7.5
3 seasons,NA,BAL,NBA,,163,NA,11.3,1.7,3.8,0.445,NA,NA,NA,1.7,3.8,0.445,0.445,0.6,1,0.621,NA,NA,4,0.3,NA,NA,NA,1.9,4
1 season,NA,POR,NBA,,79,NA,19.7,3.1,7.1,0.435,NA,NA,NA,3.1,7.1,0.435,0.435,0.9,1.2,0.806,NA,NA,5.2,1.4,NA,NA,NA,2.5,7.1
1 season,NA,NYA,ABA,,70,NA,14.2,1.5,3.5,0.424,0,0,0,1.5,3.4,0.427,0.424,0.5,0.6,0.833,0.8,2.2,3,0.8,0.6,0.1,0.8,2.1,3.4
1 season,NA,CHI,NBA,,38,NA,16.2,2.3,6.7,0.341,NA,NA,NA,2.3,6.7,0.341,0.341,1,1.3,0.771,NA,NA,5.2,0.9,NA,NA,NA,2.3,5.6
1 season,NA,INA,ABA,,12,NA,11.2,2,5,0.4,0,0,NA,2,5,0.4,0.4,1,1.4,0.706,1.3,1.8,3.1,1.2,0.3,0.2,0.6,1.5,5
