Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,CHI,NBA,PF,81,6,22.6,3.1,6.3,0.501,0,0,0,3.1,6.2,0.503,0.501,1.4,2.2,0.626,1.9,3.6,5.5,1.1,0.6,0.7,1.1,2.7,7.7
1988-89,23,CHI,NBA,PF,79,79,35.6,5.1,9.9,0.519,0,0.1,0,5.1,9.8,0.522,0.519,1.8,2.5,0.704,3,5.6,8.6,2.1,1.1,0.8,1.6,3.2,12
1989-90,24,CHI,NBA,PF,80,80,34.4,5.6,10.7,0.523,0,0,NA,5.6,10.7,0.523,0.523,2.2,3.2,0.699,3,4.9,7.9,2.8,1.2,1.1,1.4,2.9,13.4
1990-91,25,CHI,NBA,PF,78,76,33.9,5.1,9.4,0.547,0,0.1,0.167,5.1,9.3,0.55,0.548,2.5,3.6,0.711,3.4,5,8.4,2.3,1.2,0.9,1.2,2.6,12.8
1991-92,26,CHI,NBA,PF,81,81,35.3,5.6,9.8,0.578,0,0,0,5.6,9.7,0.58,0.578,2.9,3.9,0.741,4.2,5.7,10,2.7,1.2,1.6,1.2,2.4,14.2
1992-93,27,CHI,NBA,PF,77,77,35.6,5.5,10.8,0.508,0,0.1,0.2,5.5,10.7,0.51,0.508,2.3,3.6,0.619,4.4,5,9.5,2.6,1.2,1.2,1.4,2.8,13.2
1993-94,28,CHI,NBA,PF,70,69,36.7,6.6,12.5,0.524,0,0.1,0,6.6,12.5,0.528,0.524,2,3.3,0.596,4.4,6.6,11,3.4,1.1,1.2,1.6,2.3,15.1
1994-95,29,ORL,NBA,PF,74,74,36.4,5.4,9.6,0.567,0,0.1,0,5.4,9.4,0.574,0.567,2,2.9,0.692,3,6.6,9.7,2.3,1,1.2,1.1,2.7,12.8
1995-96,30,ORL,NBA,PF,63,62,36.3,5.5,10.7,0.513,0,0.1,0.167,5.5,10.7,0.516,0.513,2.4,3.3,0.734,2.8,6.4,9.2,2.7,1,1.2,1,2.3,13.4
1996-97,31,ORL,NBA,PF,67,67,37.3,5.3,10.4,0.515,0,0.1,0.167,5.3,10.3,0.518,0.516,1.9,2.7,0.715,3.1,5.9,9,2.4,1.5,1,1.5,2.3,12.6
1997-98,32,ORL,NBA,C,76,76,36.9,5.2,11.3,0.459,0,0.1,0,5.2,11.2,0.462,0.459,1.8,2.6,0.678,3,5.1,8.1,2.3,1.1,1,1.2,2.4,12.1
1998-99,33,ORL,NBA,PF,50,50,33.2,4,9.1,0.434,0,0,0,4,9.1,0.436,0.434,0.9,1.4,0.671,2.3,4.7,7,1.8,0.9,1.2,0.9,2,8.9
1999-00,34,SEA,NBA,PF,76,76,35.4,3.5,7.9,0.444,0,0.1,0,3.5,7.8,0.447,0.444,1.1,1.5,0.721,2.2,5.6,7.8,2.5,0.7,0.8,0.8,2.5,8.1
2000-01,35,LAL,NBA,PF,77,77,31,3.4,7.4,0.462,0,0,0,3.4,7.4,0.465,0.462,1.7,2.2,0.775,2.9,4.2,7.1,1.6,0.7,0.8,0.6,2.4,8.5
2001-02,36,ORL,NBA,C,76,76,29.1,3.5,6.8,0.513,0,0,NA,3.5,6.8,0.513,0.513,1.1,1.5,0.721,2.1,4.2,6.3,1.4,0.8,0.6,0.7,1.6,8
2002-03,37,ORL,NBA,PF,5,1,17,2.6,5,0.52,0,0,NA,2.6,5,0.52,0.52,0,0,NA,0.4,1.2,1.6,1.4,0.6,0,0.2,1,5.2
2003-04,38,LAL,NBA,PF,55,10,20.1,1.7,4.1,0.411,0,0,0,1.7,4.1,0.413,0.411,0.7,1,0.722,1.4,2.8,4.2,1.3,0.4,0.4,0.5,1.3,4.1
Career,NA,,NBA,,1165,1037,33.2,4.7,9.2,0.509,0,0.1,0.063,4.7,9.1,0.511,0.509,1.8,2.6,0.692,3,5.1,8.1,2.2,1,1,1.1,2.4,11.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,CHI,NBA,,546,468,33.3,5.2,9.8,0.53,0,0,0.077,5.2,9.8,0.532,0.53,2.2,3.2,0.675,3.5,5.2,8.6,2.4,1.1,1.1,1.3,2.7,12.6
7 seasons,NA,ORL,NBA,,411,406,34.6,4.8,9.6,0.502,0,0.1,0.069,4.8,9.5,0.505,0.502,1.7,2.4,0.704,2.7,5.5,8.2,2.1,1,1,1.1,2.2,11.3
2 seasons,NA,LAL,NBA,,132,87,26.5,2.7,6,0.448,0,0,0,2.7,6,0.45,0.448,1.3,1.7,0.762,2.3,3.6,5.9,1.5,0.6,0.6,0.6,1.9,6.7
1 season,NA,SEA,NBA,,76,76,35.4,3.5,7.9,0.444,0,0.1,0,3.5,7.8,0.447,0.444,1.1,1.5,0.721,2.2,5.6,7.8,2.5,0.7,0.8,0.8,2.5,8.1
